Marca,Modelo,Fecha_Publicacion,Peso_Mujer,Peso_Hombre,Precio,Drop,Perfil_Anterior,Perfil_Posterior,taco,terreno_categoria,distancia_categoria,corredor_categoria,durabilidad_categoria,upper_categoria,mediasuela_categoria,suela_categoria,placa
Asics,FujiTrabuco Lyte,2020-04-23,,,130.0,4.0,24.0,28.0,,Polivalente,Maratón,Ligero,Baja,,EVA Bio/Orgánica,Asicsgrip,
Salomon,Sense Feel,2020-03-30,,,89.99,8.0,17.0,23.0,3.0,Fácil/Rodador,Media,Ligero,Baja,Malla,EVA Convencional,Salomon Contagrip,Antirrocas
Mizuno,Wave Daichi 5,2020-03-26,320.0,320.0,135.0,8.0,24.0,32.0,,Polivalente,Maratón,Medio,Alta,Malla,PEBA,Michelin,TPU
Salomon,Sense Flow,2020-03-24,257.0,257.0,109.99,8.0,17.0,23.0,3.0,Fácil/Rodador,Media,Medio,Media,Malla,EVA Convencional,Salomon Contagrip,Antirrocas
Joma,Olimpo 3,2020-03-16,350.0,350.0,126.0,8.0,,,6.0,Polivalente,Larga,Pesado,Alta,Hilo,,,
Hoka,Speedgoat 4,2020-02-24,306.0,306.0,140.0,4.0,,,5.0,Polivalente,Ultra,Medio,Media,Malla,EVA Convencional,Vibram,
Joma,Sierra 4,2020-01-29,318.0,318.0,85.99,,,,3.0,Polivalente,Maratón,Pesado,Alta,Hilo,EVA Convencional,,TPU
Hoka,Evo Mafate 2,2020-01-25,292.0,292.0,190.0,4.0,31.0,35.0,5.0,Fácil/Rodador,Ultra,Ligero,Media,Keblar,EVA Convencional,Vibram,
CimAlp,864 Drop Control v2.0,2020-01-20,325.0,325.0,169.9,,,,,Polivalente,Larga,Pesado,Alta,Hilo,,Vibram,
New Balance,Fresh Foam Hierro v5,2020-01-19,359.0,359.0,140.0,8.0,20.0,28.0,,Polivalente,Ultra,Pesado,Alta,Hilo,EVA Convencional,Vibram,
Brooks,Cascadia 14,2019-12-30,303.0,303.0,140.0,8.0,,,,Polivalente,Maratón,Medio,Alta,Malla,EVA Bio/Orgánica,Brooks Trailtack,Antirrocas
Saucony,Mad River TR,2019-12-27,309.0,309.0,120.0,,,,,Fácil/Rodador,Media,Medio,Media,Hilo,EVA Convencional,,
Merrell,Nova Rainbow,2019-12-22,332.0,332.0,110.0,,,,5.0,Polivalente,Media,Medio,Alta,Malla,EVA Convencional,Vibram,TPU
Salomon,XA Alpine Pro,2019-12-17,310.0,310.0,159.99,,,,,Técnico,Maratón,Medio,Alta,,,Salomon Contagrip,
Salomon,Alphacross,2019-12-15,300.0,300.0,89.99,,,,5.0,Barro/Blando,Media,Medio,Alta,Tela,EVA Convencional,Salomon Contagrip,
Salomon,Supercross,2019-12-11,310.0,310.0,109.99,10.0,,,,Polivalente,Maratón,Medio,Alta,Malla,,Salomon Contagrip,Antirrocas
Raidlight,Revolutiv Protect,2019-12-10,315.0,315.0,160.0,6.0,,,6.0,Barro/Blando,Maratón,Medio,Alta,Hilo,EVA Convencional,,
Salming,Trail Hydro,2019-12-06,289.0,289.0,179.0,,,,4.0,Polivalente,Ultra,Medio,Baja,Membrana,EVA Convencional,Vibram,
Salewa,Speed Beat Gore-Tex,2019-12-03,350.0,350.0,170.0,8.0,,,,Técnico,Larga,Medio,Alta,Malla,EVA Convencional,Pomoca,
Mizuno,Wave Mujin 6,2019-11-30,380.0,380.0,145.0,,,,,Polivalente,Ultra,Pesado,Alta,Malla,EVA Convencional,Michelin,
Icebug,Newrun RB9 GTX,2019-11-11,270.0,270.0,159.95,,,,,Fácil/Rodador,Larga,Medio,Media,Membrana,,,
Altra,King MT 2.0,2019-11-09,246.0,246.0,160.0,,,,6.0,Técnico,Corta,Ligero,Media,Hilo,,Vibram,
Hoka,Evo Speedgoat,2019-11-03,281.0,281.0,170.0,4.0,32.0,28.0,,Polivalente,Larga,Medio,Media,Keblar,EVA Convencional,Vibram,
Tecnica,Origin XT,2019-10-29,310.0,310.0,169.95,9.0,21.0,30.0,,Polivalente,Larga,Pesado,Alta,,TPU,Vibram,TPU
Altra,Timp 1.5,2019-10-21,298.0,298.0,145.0,,,,4.0,Polivalente,Larga,Medio,Alta,Malla,EVA Convencional,Duratread,
Altra,Olympus 3.5,2019-10-20,303.0,303.0,155.0,,,,,Polivalente,Ultra,Medio,Media,,,Vibram,
Altra,Superior 4.0,2019-10-17,224.0,224.0,130.0,,,,,Compacto/Roca,Corta,Ligero,Baja,Hilo,,,TPU
Adidas,Terrex Speed GTX,2019-10-15,275.0,275.0,169.95,,,,,Polivalente,Media,Ligero,Media,Membrana,EVA Convencional,Continental,
Hoka,Mafate Speed 2,2019-09-29,295.0,295.0,170.0,4.0,29.0,33.0,,Polivalente,Ultra,Medio,Media,,,Vibram,
Adidas,Terrex Free Hiker,2019-09-26,385.0,385.0,199.95,,,,,Fácil/Rodador,Ultra,Medio,Alta,Hilo,TPU,Continental,
New Balance,Nitrel v3,2019-09-25,294.0,294.0,75.0,,,,,Fácil/Rodador,Media,Ligero,Alta,Hilo,,,
Scott,Supertrac 2.0,2019-09-22,300.0,300.0,129.95,8.0,,,,Polivalente,Larga,Pesado,Alta,Hilo,EVA Convencional,The North Face Ultra Traction,Antirrocas
Asics,Fuji Trabuco Pro,2019-09-19,270.0,270.0,140.0,6.0,12.0,18.0,7.0,Barro/Blando,Maratón,Medio,Baja,,EVA Bio/Orgánica,Asics AHAR,
New Balance,Fresh Foam Hierro BOA,2019-09-18,358.0,358.0,160.0,,,,,Fácil/Rodador,Ultra,Pesado,Alta,Malla,EVA Modificada (OBC/Goma),Vibram,
Topo Athletic,MTN Racer,2019-09-16,264.0,264.0,169.0,,,,,Polivalente,Larga,Medio,Alta,,EVA Convencional,Vibram,
Merrell,Trail Glove 5,2019-09-10,200.0,200.0,120.0,,,,,Fácil/Rodador,Media,Ligero,Media,Hilo,,Vibram,Antirrocas
Mizuno,Wave Ibuki 2,2019-09-09,330.0,330.0,100.0,,,,3.0,Fácil/Rodador,Media,Medio,Alta,Malla,,,
VJ,MAXx,2019-09-01,270.0,270.0,150.0,6.0,,,,Técnico,Larga,Ligero,Alta,Keblar,EVA Convencional,,
Mizuno,Wave Hayate 5,2019-08-21,295.0,295.0,130.0,,,,,Polivalente,Corta,Ligero,Alta,Malla,,Michelin,Antirrocas
Mizuno,Wave Daichi 4,2019-08-11,315.0,315.0,135.0,,,,,Polivalente,Ultra,Medio,Alta,Malla,,Michelin,
Inov-8,Mudclaw G 260,2019-07-28,260.0,260.0,165.0,,,,8.0,Barro/Blando,Media,Medio,Alta,Keblar,,,
Scott,Supertrac Ultra RC W,2019-07-11,300.0,300.0,160.0,8.0,,,7.0,Polivalente,Ultra,Pesado,Alta,Hilo,EVA Convencional,,
Dynafit,Feline Up,2019-07-04,250.0,250.0,140.0,4.0,,,5.0,Técnico,Media,Ligero,Alta,Malla,,Vibram,Carbono
Arc'teryx,Norvan SL,2019-06-20,185.0,185.0,150.0,,,,3.5,Compacto/Roca,Corta,Ligero,Media,Tela,EVA Convencional,Vibram,
Inov-8,Roclite G 275,2019-06-11,275.0,275.0,150.0,8.0,16.0,24.0,,Polivalente,Maratón,Medio,Alta,,EVA Convencional,Inov-8 G-Grip (Grafeno),
La Sportiva,Kaptiva,2019-06-09,280.0,280.0,159.99,6.0,11.0,17.0,,Barro/Blando,Corta,Ligero,Baja,,EVA Convencional,La Sportiva Frixion,
Salomon,Sense Ride 2,2019-06-04,270.0,270.0,129.99,,,,3.0,Polivalente,Larga,Medio,Media,Malla,,,
Dynafit,Trailbreaker Evo,2019-05-29,300.0,300.0,130.0,,,,,Compacto/Roca,Media,Ligero,Alta,Malla,EVA Convencional,Pomoca,
Merrell,Antora,2019-05-28,243.0,243.0,110.0,,,,5.0,Polivalente,Ultra,Medio,Alta,Membrana,EVA Convencional,Vibram,TPU
Adidas,Terrex Agravic Boa,2019-05-25,285.0,285.0,149.95,7.0,,,,Polivalente,Ultra,Medio,Media,Malla,EVA Convencional,Continental,
Raidlight,Responsiv XP,2019-05-22,280.0,280.0,149.95,4.0,,,,Compacto/Roca,Media,Medio,Media,Hilo,EVA Convencional,,
Salomon,SpeedCross 5,2019-05-19,320.0,320.0,129.99,10.0,30.0,20.0,,Barro/Blando,Larga,Medio,Media,Malla,,Salomon Contagrip,
Saucony,Peregrine ISO,2019-05-15,298.0,298.0,140.0,,,,,Polivalente,Larga,Medio,Alta,Hilo,EVA Convencional,Saucony Pwrtrac,Antirrocas
Scott,Kinabalu RC 2.0,2019-05-08,255.0,255.0,149.95,3.0,,,,Compacto/Roca,Maratón,Medio,Baja,Malla,EVA Convencional,,
New Balance,Summit Unknown,2019-05-06,244.0,244.0,120.0,,,,,Polivalente,Maratón,Medio,Media,,,Saucony Hydrohesion,
Saucony,Switchback ISO,2019-05-02,278.0,278.0,150.0,,,,,Compacto/Roca,Media,Ligero,Alta,,TPU,,Antirrocas
Garmont,9.81 N Air G S GTX Surround,2019-04-30,350.0,350.0,164.9,,,,,Polivalente,Larga,Pesado,Alta,Membrana,,Michelin,
Hoka,Challenger ATR 5,2019-04-29,254.0,254.0,130.0,5.0,24.0,29.0,4.0,Fácil/Rodador,Larga,Medio,Media,,EVA Convencional,,
Garmont,9.81 N Air G S Mid GTX Surround,2019-04-25,390.0,390.0,174.9,,,,,Técnico,Larga,Medio,Media,Membrana,,Michelin,
Salomon,Ultra Pro,2019-04-23,292.0,292.0,150.0,8.0,,,,Polivalente,Ultra,Medio,Media,,EVA Convencional,Salomon Contagrip,
Salomon,S-Lab Ultra 2 2018,2019-04-14,285.0,285.0,179.99,8.0,18.0,26.0,4.0,Compacto/Roca,Ultra,Medio,Media,,EVA Convencional,Salomon Contagrip,
La Sportiva,VK,2019-04-07,200.0,200.0,149.99,,,,,Técnico,Corta,Ligero,Media,Hilo,EVA Convencional,,
New Balance,Fresh Foam Hierro v4,2019-03-28,324.0,324.0,140.0,,,,,Polivalente,Ultra,Pesado,Alta,Malla,EVA Modificada (OBC/Goma),Vibram,
Merrell,Agility Peak Flex 3,2019-03-27,311.0,311.0,150.0,,,,,Polivalente,Maratón,Medio,Alta,Hilo,,Vibram,TPU
Dynafit,Feline Up Pro,2019-03-24,230.0,230.0,180.0,4.0,,,,Técnico,Corta,Ligero,Media,Malla,,Vibram,
Raidlight,Revolutiv,2019-03-20,290.0,290.0,149.95,,,,6.0,Técnico,Media,Medio,Alta,,EVA Convencional,,
Raidlight,Responsiv Dynamic,2019-03-18,290.0,290.0,134.95,6.0,,,6.0,Polivalente,Media,Medio,Alta,Hilo,EVA Convencional,,Antirrocas
Topo Athletic,Terraventure 2,2019-03-13,306.0,306.0,142.0,,,,,Barro/Blando,Maratón,Medio,Alta,Hilo,EVA Convencional,Vibram,Antirrocas
Hoka,Evo Mafate,2019-03-11,270.0,270.0,190.0,4.0,35.0,31.0,5.0,Polivalente,Ultra,Ligero,Media,Keblar,,Vibram,
Hoka,Speedgoat 3,2019-02-28,292.0,292.0,140.0,4.0,32.0,28.0,,Polivalente,Ultra,Medio,Alta,,EVA Convencional,Vibram,
Asics,FujiTrabuco 7,2019-02-27,330.0,330.0,140.0,8.0,12.0,20.0,,Polivalente,Ultra,Pesado,Alta,Malla,EVA Convencional,Asicsgrip,Antirrocas
Raidlight,Responsiv Ultra,2019-02-21,270.0,270.0,139.95,,,,,Compacto/Roca,Ultra,Medio,Media,Malla,Supercrítico,,
La Sportiva,Lycan GTX,2019-02-13,355.0,355.0,149.99,,,,,Barro/Blando,Larga,Medio,Alta,Membrana,EVA Convencional,La Sportiva Frixion,Antirrocas
Altra,Lone Peak 4.0,2019-01-02,289.0,289.0,140.0,,,,,Polivalente,Maratón,Medio,Alta,,,,
La Sportiva,Lycan Woman GTX,2018-12-30,300.0,300.0,149.99,,,,,Barro/Blando,Media,Medio,Alta,Membrana,EVA Convencional,La Sportiva Frixion,
Garmont,9.81 Track GTX,2018-12-26,360.0,360.0,159.9,,,,,Polivalente,Media,Pesado,Alta,Membrana,EVA Convencional,Michelin,
Salomon,Sense Ride GTX Invisible Fit,2018-12-23,302.0,302.0,169.99,,,,3.0,Polivalente,Ultra,Medio,Media,Membrana,EVA Modificada (OBC/Goma),Salomon Contagrip,
Garmont,9.81 Grid,2018-12-12,350.0,350.0,149.9,,,,,Técnico,Larga,Pesado,Alta,Malla,EVA Convencional,Michelin,
Salomon,Sense Escape GTX,2018-12-10,303.0,303.0,135.0,,,,3.0,Compacto/Roca,Media,Medio,Alta,Membrana,EVA Convencional,Salomon Contagrip,
Saucony,Xodus ISO 3,2018-12-03,366.0,366.0,160.0,4.0,,,5.0,Polivalente,Larga,Pesado,Alta,Malla,TPU,Saucony Pwrtrac,
Salomon,S-Lab Sense 7 SG,2018-11-20,200.0,200.0,180.0,4.0,,,,Barro/Blando,Corta,Ligero,Media,Malla,EVA Convencional,Salomon Contagrip,
Salomon,Sense Pro 3,2018-11-18,255.0,255.0,129.99,,,,,Barro/Blando,Maratón,Ligero,Media,Malla,,Salomon Contagrip,
Salomon,S-Lab Sense 7,2018-11-15,199.0,199.0,180.0,4.0,,,,Compacto/Roca,Media,Ligero,Media,Malla,,Salomon Contagrip,
Vibram Fivefingers,V-Aqua,2018-11-14,138.0,138.0,99.0,,,,,Fácil/Rodador,Corta,Ligero,Media,,,Vibram,
Merrell,Trail Glove 4 Shield,2018-11-12,247.0,247.0,130.0,,,,3.0,Compacto/Roca,Corta,Ligero,Media,Malla,,Vibram,Antirrocas
Mizuno,Wave Ibuki GTX,2018-11-08,340.0,340.0,115.0,,,,,Fácil/Rodador,Maratón,Medio,Media,Membrana,EVA Convencional,,
Garmont,9.81 Fast,2018-11-05,320.0,320.0,139.9,,,,3.0,Polivalente,Media,Pesado,Alta,Hilo,,Michelin,
Salomon,Trailster,2018-11-01,292.0,292.0,100.0,,,,4.0,Polivalente,Media,Medio,Alta,Malla,EVA Convencional,Salomon Contagrip,
Altra,Olympus 3.0,2018-10-29,303.0,303.0,155.0,,,,,Fácil/Rodador,Ultra,Pesado,Media,Malla,EVA Convencional,Vibram,
Inov-8,Terraultra G 260,2018-10-22,260.0,260.0,165.0,,,,,Técnico,Media,Ligero,Media,Keblar,EVA Convencional,Inov-8 G-Grip (Grafeno),
New Balance,Summit K.O.M.,2018-10-18,315.0,315.0,130.0,,,,,Polivalente,Larga,Medio,Media,,,Vibram,Antirrocas
Berg Outdoor,Armada,2018-10-16,309.0,309.0,99.95,,,,6.0,Polivalente,Larga,Medio,Alta,,TPU,Vibram,TPU
Hoka,Torrent,2018-09-18,254.0,254.0,120.0,,,,,Polivalente,Maratón,Medio,Baja,Malla,EVA Convencional,,
Mizuno,Wave Mujin 5,2018-09-02,360.0,360.0,145.0,,,,,Polivalente,Ultra,Pesado,Alta,Hilo,,Michelin,TPU
Scott,Supertrac Ultra RC,2018-08-13,340.0,340.0,160.0,8.0,29.0,21.0,,Polivalente,Ultra,Medio,Alta,Keblar,EVA Convencional,,
Merrell,All Out Crush 2,2018-08-05,228.0,228.0,110.0,,,,,Barro/Blando,Media,Medio,Media,,,Merrell M-Select,
Tecnica,Maxima 2.0,2018-07-26,325.0,325.0,154.95,,,,,Polivalente,Ultra,Pesado,Alta,Malla,EVA Convencional,Vibram,
Tecnica,Supreme Max 3.0,2018-07-19,335.0,335.0,154.95,,,,,Polivalente,Ultra,Pesado,Alta,Hilo,EVA Convencional,Vibram,
Brooks,Cascadia 13,2018-07-17,337.0,337.0,140.0,,,,,Polivalente,Ultra,Medio,Alta,Malla,EVA Bio/Orgánica,,Antirrocas
Adidas,Terrex Two Boa 2018,2018-07-16,290.0,290.0,129.95,8.0,,,,Polivalente,Ultra,Medio,Alta,Malla,EVA Convencional,Continental,
Merrell,Agility Peak Flex 2 E-Mesh,2018-07-15,271.0,271.0,140.0,,,,5.0,Técnico,Ultra,Medio,Alta,Malla,EVA Convencional,Merrell M-Select,
Minimal Sandals,New Crep,2018-07-12,165.0,165.0,90.0,,,,,Compacto/Roca,Media,Ligero,Media,Aislamiento,,Vibram,
Salewa,Ultra Train 2,2018-06-26,313.0,313.0,150.0,,,,,Polivalente,Larga,Medio,Alta,Hilo,EVA Convencional,Michelin,
Salomon,Sense Escape,2018-06-24,270.0,270.0,109.99,,,,,Polivalente,Corta,Ligero,Media,Malla,EVA Modificada (OBC/Goma),Salomon Contagrip,
Salomon,S-Lab Ultra 2018,2018-06-21,300.0,300.0,179.99,,,,,Polivalente,Ultra,Medio,Alta,Malla,EVA Convencional,Salomon Contagrip,
La Sportiva,Lycan W,2018-06-14,212.0,212.0,129.99,,,,,Fácil/Rodador,Media,Medio,Alta,Malla,EVA Convencional,La Sportiva Frixion,
Scarpa,Neutron 2,2018-06-12,335.0,335.0,149.0,,,,,Polivalente,Ultra,Medio,Media,Membrana,EVA Convencional,Vibram,TPU
Salomon,S-Lab Speed 2,2018-06-10,260.0,260.0,179.99,4.0,,,8.0,Barro/Blando,Maratón,Ligero,Media,Hilo,,Salomon Contagrip,
La Sportiva,Lycan,2018-06-06,255.0,255.0,129.99,6.0,,,2.0,Compacto/Roca,Maratón,Pesado,Alta,Malla,,La Sportiva Frixion,
Scarpa,Spin RS,2018-05-29,265.0,265.0,155.0,,,,,Polivalente,Ultra,Ligero,Alta,Hilo,EVA Convencional,Vibram,
Mizuno,Wave Daichi 3,2018-05-22,320.0,320.0,135.0,,,,,Polivalente,Ultra,Medio,Alta,,,Michelin,
Scott,Kinabalu,2018-05-21,322.0,322.0,149.95,,,,,Polivalente,Larga,Medio,Alta,Hilo,EVA Convencional,,
Scott,Kinabalu Power,2018-05-15,350.0,350.0,159.95,,,,,Compacto/Roca,Ultra,Pesado,Alta,Hilo,EVA Convencional,,
Asics,Gecko XT,2018-05-09,290.0,290.0,120.0,,,,,Compacto/Roca,Maratón,Ligero,Alta,Hilo,EVA Bio/Orgánica,Dynafit Geckotracc,
Salomon,XA Elevate,2018-05-07,295.0,295.0,129.99,,,,5.0,Técnico,Media,Medio,Alta,Malla,EVA Convencional,Salomon Contagrip,
VJ,Irock 2,2018-05-06,240.0,240.0,134.0,,,,20.0,Barro/Blando,Media,Ligero,Alta,Keblar,EVA Convencional,,
Mizuno,Wave Hayate 4,2018-04-29,280.0,280.0,130.0,,,,,Barro/Blando,Media,Ligero,Alta,Malla,,Michelin,
Joma,Olimpo II,2018-04-26,303.0,303.0,97.01,,,,6.0,Barro/Blando,Ultra,Pesado,Alta,Tela,EVA Convencional,,TPU
New Balance,Fresh Foam Hierro v3,2018-04-24,329.0,329.0,135.0,,,,,Fácil/Rodador,Ultra,Pesado,Media,,EVA Modificada (OBC/Goma),Vibram,
Merrell,MQM Flex Gore-Tex,2018-04-22,324.0,324.0,135.0,,,,,Polivalente,Larga,Medio,Alta,Membrana,EVA Convencional,,TPU
Salomon,Wings Pro 3,2018-04-19,295.0,295.0,139.99,,,,,Compacto/Roca,Ultra,Ligero,Alta,,EVA Convencional,Salomon Contagrip,
Dynafit,Ultra Pro,2018-04-17,320.0,320.0,155.0,,,,,Técnico,Ultra,Pesado,Media,Malla,EVA Convencional,Vibram,Antirrocas
Joma,Sierra 3,2018-04-16,335.0,335.0,83.01,,,,4.0,Polivalente,Media,Medio,Alta,Malla,,,
Salming,Trail 5,2018-04-15,298.0,298.0,175.0,,,,,Polivalente,Ultra,Medio,Alta,Malla,EVA Convencional,Vibram,
Raidlight,Ultramax EVO,2018-04-12,330.0,330.0,149.95,,,,6.0,Polivalente,Ultra,Pesado,Alta,Hilo,EVA Convencional,,
Saucony,Peregrine 8,2018-04-09,283.0,283.0,140.0,4.0,,,,Polivalente,Ultra,Medio,Media,,TPU,Saucony Pwrtrac,Antirrocas
Raidlight,Dynamic Ultralight EVO,2018-04-08,275.0,275.0,139.96,,,,6.0,Polivalente,Media,Medio,Alta,,,,
Topo Athletic,Runventure 2,2018-04-05,273.0,273.0,142.0,,,,5.0,Polivalente,Media,Medio,Alta,Malla,,,Antirrocas
Raidlight,Team R-Light 004.3,2018-04-04,310.0,310.0,134.95,,,,6.0,Polivalente,Larga,Medio,Alta,,,,
Arc'teryx,Norvan LD,2018-03-27,310.0,310.0,160.0,,,,,Fácil/Rodador,Ultra,Ligero,Media,Malla,,Vibram,
Altra,Lone Peak 3.5,2018-03-21,295.0,295.0,140.0,,,,,Polivalente,Maratón,Medio,Alta,,EVA Convencional,,
Saucony,Xodus ISO 2,2018-03-15,298.0,298.0,145.0,,,,6.0,Polivalente,Larga,Medio,Alta,Malla,TPU,,
La Sportiva,Tempesta GTX,2018-02-05,275.0,330.0,194.99,10.0,,,,Polivalente,Ultra,Medio,Alta,Membrana,,La Sportiva Frixion,
Brooks,Mazama 2,2018-01-15,263.0,263.0,140.0,,,,,Fácil/Rodador,Media,Ligero,Baja,,,,Antirrocas
Brooks,Caldera 2,2018-01-10,280.0,280.0,140.0,4.0,24.0,28.0,,Fácil/Rodador,Larga,Medio,Media,Malla,,,
Salomon,SpeedCross Pro 2,2018-01-08,280.0,280.0,149.99,,,,,Barro/Blando,Media,Ligero,Alta,Keblar,,Salomon Contagrip,Antirrocas
Berg Outdoor,Pantera,2018-01-07,322.0,322.0,99.99,,,,,Polivalente,Ultra,Medio,Alta,Keblar,EVA Convencional,Vibram,
Salomon,Outpath GTX,2017-12-26,335.0,335.0,159.99,,,,,Polivalente,Larga,Medio,Alta,Membrana,EVA Convencional,Salomon Contagrip,
Salomon,Sense Pro 2,2017-12-18,265.0,265.0,129.99,,,,,Polivalente,Maratón,Ligero,Alta,,EVA Convencional,Salomon Contagrip,Antirrocas
The North Face,Ultra Vertical,2017-12-13,305.0,305.0,140.0,,,,5.0,Técnico,Ultra,Medio,Alta,Hilo,EVA Convencional,Vibram,TPU
Hoka,Speedgoat 2,2017-12-11,278.0,278.0,140.0,5.0,,,,Polivalente,Ultra,Medio,Media,,EVA Convencional,Vibram,
Salomon,Sense Ride,2017-12-10,275.0,275.0,129.99,,,,3.0,Polivalente,Ultra,Medio,Alta,Malla,,Salomon Contagrip,
Scarpa,Spin,2017-11-11,252.0,252.0,145.0,,,,,Técnico,Maratón,Ligero,Alta,,EVA Convencional,Vibram,Carbono
Mizuno,Wave Mujin 4,2017-11-07,355.0,355.0,145.0,,,,,Polivalente,Ultra,Pesado,Alta,Malla,,Michelin,
New Balance,910v4,2017-11-06,329.0,329.0,130.0,,,,,Polivalente,Ultra,Medio,Alta,,,Saucony Hydrohesion,Antirrocas
Adidas,Terrex CMTK,2017-10-31,290.0,290.0,99.99,,,,4.0,Técnico,Maratón,Pesado,Media,Hilo,EVA Convencional,Continental,TPU
New Balance,Fresh Foam Gobi v2,2017-10-17,258.0,258.0,100.0,,,,,Fácil/Rodador,Media,Medio,Media,Malla,EVA Modificada (OBC/Goma),,
Mizuno,Wave Hayate 3,2017-10-11,222.0,222.0,125.0,,,,,Técnico,Media,Ligero,Alta,Malla,,Michelin,Antirrocas
Asics,Gel Fuji Rado,2017-10-01,355.0,355.0,140.0,,,,3.0,Polivalente,Maratón,Medio,Alta,,EVA Convencional,,
La Sportiva,Akyra W,2017-09-25,310.0,310.0,159.99,9.0,,,,Técnico,Ultra,Pesado,Alta,,EVA Convencional,La Sportiva Frixion,
Merrell,All Out Crush Tough Mudder,2017-09-19,228.0,228.0,110.0,,,,5.0,Barro/Blando,Media,Medio,Media,Malla,EVA Convencional,,Antirrocas
Saucony,Peregrine 7,2017-09-13,266.0,266.0,135.0,,,,5.0,Polivalente,Maratón,Medio,Media,Hilo,EVA Convencional,Saucony Pwrtrac,TPU
Asics,Gel Fuji Lyte,2017-09-11,223.0,223.0,120.0,,,,4.0,Técnico,Media,Ligero,Baja,,EVA Bio/Orgánica,,Antirrocas
Merrell,Bare Access Flex,2017-09-10,210.0,210.0,110.0,,,,2.0,Fácil/Rodador,Maratón,Ligero,Baja,,,,
Altra,King MT,2017-09-07,289.0,289.0,150.0,,,,6.0,Barro/Blando,Corta,Ligero,Baja,,EVA Convencional,Vibram,
New Balance,Vazee Summit v2,2017-08-02,265.0,265.0,120.0,,,,4.0,Fácil/Rodador,Maratón,Ligero,Alta,,,Saucony Hydrohesion,Antirrocas
Inov-8,Roclite 305,2017-07-20,305.0,305.0,145.0,8.0,,,,Polivalente,Larga,Ligero,Alta,Malla,EVA Convencional,,
Salomon,Sense Pro Max,2017-07-02,273.0,273.0,149.99,,,,,Fácil/Rodador,Ultra,Medio,Baja,Malla,EVA Modificada (OBC/Goma),,
Dynafit,Alpine Pro,2017-06-29,300.0,300.0,155.0,,,,,Técnico,Ultra,Medio,Baja,Malla,EVA Convencional,Vibram,Carbono
Mizuno,Wave Daichi 2,2017-06-25,261.0,261.0,130.0,,,,,Polivalente,Maratón,Medio,Alta,Malla,EVA Convencional,Michelin,Antirrocas
Topo Athletic,Terraventure,2017-06-01,302.0,302.0,135.0,,,,6.0,Fácil/Rodador,Larga,Ligero,Baja,Hilo,EVA Convencional,,Antirrocas
Raidlight,Team R-Light 004.2,2017-05-22,355.0,355.0,135.0,,,,6.0,Polivalente,Ultra,Medio,Media,,,,Antirrocas
On,Cloudventure Peak 2017,2017-05-18,270.0,270.0,159.95,,,,,Compacto/Roca,Maratón,Ligero,Baja,Malla,EVA Convencional,,
Salomon,S-Lab XA Amphib,2017-05-17,263.0,263.0,179.99,,,,,Técnico,Media,Medio,Alta,Malla,EVA Convencional,Salomon Contagrip,
Altra,Superior 3.0,2017-05-15,290.0,290.0,130.0,,,,,Fácil/Rodador,Maratón,Ligero,Media,Tela,EVA Convencional,Duratread,
Adidas,Terrex Agravic Speed 2017,2017-05-09,240.0,240.0,129.95,,,,,Técnico,Media,Ligero,Media,Malla,EVA Convencional,Continental,
Puma,Speed 300 TR Ignite,2017-05-08,278.0,278.0,120.0,,,,,Polivalente,Media,Medio,Media,Malla,EVA Convencional,Fila Evergrip,
La Sportiva,Akyra,2017-05-03,350.0,350.0,170.5,9.0,24.0,33.0,,Polivalente,Ultra,Pesado,Alta,Malla,EVA Convencional,La Sportiva Frixion,
Brooks,PureGrit 6,2017-05-02,263.0,263.0,120.0,,,,,Polivalente,Media,Ligero,Alta,Hilo,,,Antirrocas
Dynafit,Trailbreaker,2017-04-27,254.0,254.0,120.0,10.0,,,,Polivalente,Media,Ligero,Media,Malla,EVA Convencional,Pomoca,Antirrocas
Altra,Lone Peak 3.0 Mid Neoshell,2017-04-23,387.0,387.0,160.0,,,,,Polivalente,Larga,Medio,Alta,Membrana,,Inov-8 G-Grip (Grafeno),Carbono
Salomon,XA Enduro,2017-04-11,354.0,354.0,159.99,,,,,Polivalente,Maratón,Medio,Media,,EVA Convencional,Salomon Contagrip,
Puma,Speed Ignite TR,2017-04-09,342.0,342.0,,,,,,Fácil/Rodador,Maratón,Medio,Alta,Malla,TPU,,
Salomon,S-Lab Sense 6,2017-04-04,282.0,282.0,179.99,4.0,,,,Fácil/Rodador,Corta,Ligero,Media,Malla,EVA Convencional,Salomon Contagrip,
Mizuno,Wave Kien 3 GTX,2017-03-30,315.0,315.0,110.0,,,,,Fácil/Rodador,Media,Pesado,Alta,Membrana,EVA Convencional,,Antirrocas
Brooks,Caldera,2017-03-27,275.0,275.0,140.0,,,,,Fácil/Rodador,Ultra,Medio,Media,Malla,EVA Bio/Orgánica,,
Merrell,Agility Peak Flex,2017-03-23,265.0,265.0,140.0,,,,5.0,Técnico,Ultra,Medio,Alta,Malla,EVA Convencional,Merrell M-Select,TPU
Brooks,Cascadia 12,2017-03-15,403.0,403.0,140.0,,,,4.0,Técnico,Ultra,Medio,Alta,,EVA Bio/Orgánica,,Antirrocas
New Balance,Fresh Foam Hierro v2,2017-03-07,285.0,285.0,140.0,4.0,21.0,25.0,,Polivalente,Ultra,Medio,Alta,,EVA Modificada (OBC/Goma),Vibram,
